iter	Passed	Remaining
906	14218	64162
907	14232	64138
908	14245	64111
909	14259	64089
910	14273	64067
911	14287	64044
912	14302	64022
913	14315	63995
914	14328	63969
915	14343	63949
916	14357	63925
917	14371	63902
918	14394	63919
919	14408	63898
920	14422	63874
921	14435	63847
922	14450	63827
923	14463	63801
924	14476	63775
925	14491	63755
926	14504	63729
927	14518	63704
928	14531	63679
929	14545	63655
930	14560	63638
931	14573	63612
932	14587	63588
933	14600	63561
934	14615	63544
935	14629	63520
936	14642	63494
937	14656	63469
938	14670	63445
939	14683	63421
940	14699	63407
941	14714	63388
942	14735	63395
943	14749	63371
944	14762	63344
945	14775	63320
946	14788	63293
947	14802	63270
948	14816	63247
949	14829	63221
950	14843	63197
951	14856	63171
952	14870	63148
953	14885	63131
954	14901	63114
955	14916	63099
956	14930	63076
957	14943	63048
958	14956	63023
959	14969	62995
960	14982	62970
961	14996	62949
962	15011	62929
963	15024	62904
964	15038	62881
965	15053	62863
966	15075	62875
967	15088	62849
968	15102	62827
969	15116	62803
970	15130	62780
971	15143	62754
972	15157	62732
973	15170	62707
974	15183	62682
975	15197	62659
976	15212	62639
977	15226	62619
978	15247	62623
979	15260	62599
980	15273	62574
981	15288	62553
982	15302	62533
983	15316	62509
984	15329	62486
985	15342	62461
986	15357	62441
987	15370	62416
988	15383	62391
989	15398	62372
990	15415	62361
991	15430	62342
992	15443	62319
993	15457	62295
994	15471	62273
995	15484	62247
996	15497	62225
997	15512	62203
998	15526	62182
999	15540	62160
1000	15553	62135
1001	15568	62118
1002	15582	62095
1003	15596	62077
1004	15610	62052
1005	15623	62026
1006	15636	62001
1007	15649	61975
1008	15663	61954
1009	15676	61930
1010	15689	61905
1011	15704	61887
1012	15719	61868
1013	15733	61848
1014	15747	61825
1015	15762	61807
1016	15783	61816
1017	15800	61805
1018	15816	61792
1019	15832	61777
1020	15846	61757
1021	15861	61738
1022	15876	61720
1023	15891	61703
1024	15906	61684
1025	15920	61665
1026	15934	61642
1027	15947	61618
1028	15962	61599
1029	15975	61575
1030	15988	61551
1031	16002	61530
1032	16017	61512
1033	16033	61498
1034	16049	61483
1035	16064	61467
1036	16078	61446
1037	16095	61435
1038	16116	61440
1039	16130	61420
1040	16146	61405
1041	16159	61382
1042	16173	61359
1043	16186	61336
1044	16200	61314
1045	16214	61293
1046	16228	61271
1047	16241	61247
1048	16255	61224
1049	16269	61203
1050	16289	61206
1051	16303	61183
1052	16318	61166
1053	16334	61153
1054	16347	61129
1055	16362	61109
1056	16375	61085
1057	16388	61062
1058	16401	61038
1059	16416	61018
1060	16430	61000
1061	16449	60995
1062	16467	60991
1063	16485	60983
1064	16501	60969
1065	16516	60953
1066	16530	60932
1067	16543	60908
1068	16557	60885
1069	16571	60863
1070	16584	60839
1071	16598	60818
1072	16613	60802
1073	16627	60780
1074	16641	60762
1075	16655	60739
1076	16668	60716
1077	16682	60694
1078	16696	60673
1079	16710	60652
1080	16723	60628
1081	16737	60609
1082	16752	60590
1083	16769	60581
1084	16785	60567
1085	16804	60565
1086	16819	60547
1087	16833	60526
1088	16847	60506
1089	16861	60484
1090	16875	60464
1091	16889	60441
1092	16903	60423
1093	16919	60410
1094	16937	60401
1095	16952	60384
1096	16965	60360
1097	16979	60341
1098	16993	60321
1099	17007	60299
1100	17020	60276
1101	17035	60259
1102	17053	60249
1103	17068	60234
1104	17082	60214
1105	17096	60194
1106	17111	60176
1107	17126	60158
1108	17140	60138
1109	17164	60153
1110	17184	60152
1111	17197	60129
1112	17211	60109
1113	17225	60086
1114	17239	60065
1115	17252	60042
1116	17265	60021
1117	17279	60000
1118	17293	59978
1119	17307	59958
1120	17321	59937
1121	17336	59919
1122	17353	59910
1123	17367	59888
1124	17381	59868
1125	17395	59850
1126	17409	59829
1127	17425	59814
1128	17438	59792
1129	17452	59771
1130	17466	59749
1131	17479	59726
1132	17492	59703
1133	17507	59685
1134	17529	59691
1135	17542	59668
1136	17555	59646
1137	17570	59627
1138	17584	59607
1139	17598	59587
1140	17612	59566
1141	17626	59546
1142	17640	59525
1143	17654	59505
1144	17667	59484
1145	17682	59465
1146	17697	59448
1147	17711	59427
1148	17725	59407
1149	17739	59387
1150	17752	59366
1151	17766	59346
1152	17780	59325
1153	17794	59305
1154	17808	59283
1155	17822	59265
1156	17837	59246
1157	17852	59229
1158	17873	59232
1159	17886	59211
1160	17899	59188
1161	17913	59168
1162	17927	59146
1163	17941	59126
1164	17956	59108
1165	17969	59087
1166	17983	59065
1167	17996	59044
1168	18010	59022
1169	18025	59006
1170	18040	58990
1171	18054	58969
1172	18068	58949
1173	18082	58929
1174	18096	58908
1175	18109	58887
1176	18124	58870
1177	18139	58852
1178	18153	58834
1179	18167	58813
1180	18181	58792
1181	18195	58774
1182	18217	58778
1183	18230	58756
1184	18243	58734
1185	18257	58714
1186	18271	58694
1187	18285	58674
1188	18299	58655
1189	18314	58638
1190	18329	58620
1191	18343	58599
1192	18356	58578
1193	18373	58565
1194	18387	58549
